city,population
Ackley ,1599
Ackworth ,115
Adair ,791
Adel ,6153
Afton ,874
Agency ,620
Ainsworth ,511
Akron ,1558
Albert City ,677
Albia ,3721
Albion ,448
Alburnett ,675
Alden ,763
Alexander ,164
Algona ,5487
Alleman ,423
Allerton ,430
Allison ,966
Alta ,2087
Alta Vista ,227
Alton ,1248
Altoona ,19565
Alvord ,206
Amana CDP,388
Ames ,66427
Anamosa ,5450
Anderson CDP,37
Andover ,109
Andrew ,380
Anita ,963
Ankeny ,67887
Anthon ,545
Aplington ,1116
Arcadia ,525
Archer ,117
Aredale ,62
Argo CDP,44
Argyle CDP,91
Arion ,97
Arispe ,96
Arlington ,419
Armstrong ,875
Arnolds Park ,1110
Arthur ,222
Asbury ,5943
Ashton ,436
Aspinwall ,33
Atalissa ,296
Athelstan CDP,6
Atkins ,2056
Atlantic ,6792
Auburn ,265
Audubon ,2053
Augusta CDP,51
Aurelia ,968
Aurora ,169
Avoca ,1683
Ayrshire ,133
Badger ,522
Bagley ,233
Baldwin ,99
Balltown ,79
Bancroft ,699
Bankston ,23
Barnes City ,156
Barnum ,175
Bartlett CDP,5
Bassett ,45
Batavia ,430
Battle Creek ,700
Baxter ,962
Bayard ,405
Beacon ,445
Beaconsfield ,15
Beaman ,161
Beaver ,46
Beaverdale CDP,880
Bedford ,1508
Belle Plaine ,2330
Bellevue ,2363
Belmond ,2463
Bennett ,347
Bentley CDP,93
Benton ,39
Berkley ,23
Bernard ,114
Bertram ,269
Bettendorf ,39102
Bevington ,57
Big Rock CDP,49
Birmingham ,367
Blairsburg ,176
Blairstown ,713
Blakesburg ,274
Blanchard ,29
Blencoe ,233
Blockton ,125
Bloomfield ,2682
Blue Grass ,1666
Bode ,302
Bolan CDP,32
Bonaparte ,359
Bondurant ,7365
Boone ,12460
Bouton ,127
Boxholm ,181
Boyden ,701
Braddyville ,147
Bradford CDP,84
Bradgate ,75
Brandon ,341
Brayton ,143
Breda ,500
Bridgewater ,148
Brighton ,600
Bristow ,145
Britt ,2044
Bronson ,294
Brooklyn ,1502
Brunsville ,129
Buck Grove ,34
Buckeye ,86
Buffalo ,1176
Buffalo Center ,857
Burchinal CDP,33
Burlington ,23982
Burr Oak CDP,171
Burt ,418
Bussey ,387
Calamus ,356
California Junction CDP,74
Callender ,368
Calmar ,1125
Calumet ,146
Camanche ,4570
Cambridge ,827
Cantril ,224
Carbon ,36
Carlisle ,4160
Carpenter ,87
Carroll ,10321
Carson ,766
Carter Lake ,3791
Cascade ,2386
Casey ,387
Castalia ,145
Castana ,107
Cedar Falls ,40713
Cedar Rapids ,137710
Center Junction CDP,100
Center Point ,2579
Centerville ,5412
Central City ,1264
Centralia ,116
Chapin CDP,71
Chariton ,4193
Charles City ,7396
Charlotte ,389
Charter Oak ,535
Chatsworth ,75
Chelsea ,229
Cherokee ,5199
Chester ,139
Chillicothe ,76
Churdan ,365
Cincinnati ,290
Clare ,136
Clarence ,1039
Clarinda ,5369
Clarion ,2810
Clarksville ,1264
Clayton ,45
Clear Lake ,7687
Clearfield ,278
Cleghorn ,240
Clemons ,140
Clermont ,586
Climbing Hill CDP,97
Clinton ,24469
Clio ,67
Clive ,18601
Clutier ,213
Coalville CDP,651
Coburg ,26
Coggon ,701
Coin ,176
Colesburg ,386
Colfax ,2255
College Springs ,172
Collins ,495
Colo ,845
Columbus City ,392
Columbus Junction ,1830
Colwell ,55
Conesville ,352
Conrad ,1093
Conroy CDP,252
Conway ,17
Coon Rapids ,1300
Coppock ,36
Coralville ,22318
Corley CDP,31
Corning ,1564
Correctionville ,766
Corwith ,266
Corydon ,1526
Cotter ,39
Coulter ,219
Council Bluffs ,62799
Craig ,79
Crawfordsville ,277
Crescent ,628
Cresco ,3888
Creston ,7536
Cromwell ,105
Crystal Lake ,253
Cumberland ,251
Cumming ,436
Curlew ,37
Cushing ,230
Cylinder ,87
Dakota City ,759
Dallas Center ,1901
Dana ,38
Danbury ,320
Danville ,927
Davenport ,101724
Davis City ,179
Dawson ,116
Dayton ,772
De Soto ,915
Decatur City ,175
Decorah ,7587
Dedham ,224
Deep River ,249
Defiance ,245
Delaware ,142
Delhi ,420
Delmar ,542
Deloit ,250
Delphos CDP,26
Delta ,264
Denison ,8373
Denmark CDP,425
Denver ,1919
Derby ,90
Des Moines ,214133
DeWitt ,5514
Dexter ,640
Diagonal ,344
Diamondhead Lake CDP,371
Dickens ,146
Dike ,1304
Dixon ,202
Dolliver ,65
Donahue ,335
Donnellson ,885
Doon ,619
Douds CDP,156
Dougherty ,62
Dow City ,485
Downey CDP,112
Dows ,521
Drakesville ,164
Dubuque ,59667
Dumont ,634
Duncan CDP,57
Duncombe ,381
Dundee ,198
Dunkerton ,842
Dunlap ,1038
Durango ,20
Durant ,1871
Dyersville ,4477
Dysart ,1281
Eagle Grove ,3601
Earlham ,1410
Earling ,397
Earlville ,716
Early ,587
East Amana CDP,64
East Peru ,115
Eddyville ,970
Edgewood ,909
Elberon ,184
Eldon ,783
Eldora ,2663
Eldridge ,6726
Elgin ,685
Elk Horn ,601
Elk Run Heights ,1069
Elkader ,1209
Elkhart ,882
Elkport ,29
Elliott ,338
Ellston ,19
Ellsworth ,508
Elma ,505
Ely ,2328
Emerson ,403
Emmetsburg ,3706
Epworth ,2023
Essex ,722
Estherville ,5904
Evansdale ,4561
Everly ,575
Exira ,787
Exline ,160
Fairbank ,1111
Fairfax ,2828
Fairfield ,9416
Fairport CDP,204
Farley ,1766
Farmersburg ,271
Farmington ,579
Farnhamville ,383
Farragut ,490
Fayette ,1256
Fenton ,271
Ferguson ,97
Fertile ,305
Floris ,116
Floyd ,313
Fonda ,636
Fontanelle ,676
Forest City ,4285
Fort Atkinson ,312
Fort Dodge ,24871
Fort Madison ,10270
Fostoria ,230
Franklin ,131
Fraser ,101
Fredericksburg ,987
Frederika ,204
Fredonia ,222
Fremont ,708
Fruitland ,963
Frytown CDP,193
Galt ,26
Galva ,435
Garber ,76
Garden City CDP,100
Garden Grove ,174
Garnavillo ,763
Garner ,3065
Garrison ,344
Garwin ,481
Geneva ,136
George ,1077
Gibson ,63
Gilbert ,1211
Gilbertville ,794
Gillett Grove ,30
Gilman ,542
Gilmore City ,487
Gladbrook ,799
Glenwood ,5073
Glidden ,1151
Goldfield ,634
Goodell ,140
Goose Lake ,239
Gowrie ,952
Graettinger ,832
Graf ,76
Grafton ,216
Grand Junction ,725
Grand Mound ,615
Grand River ,196
Grandview ,437
Granger ,1654
Grant ,86
Granville ,310
Gravity ,154
Gray ,61
Greeley ,217
Green Mountain CDP,113
Greene ,990
Greenfield ,2062
Greenville ,71
Grimes ,15392
Grinnell ,9564
Griswold ,994
Grundy Center ,2796
Gruver ,63
Guernsey ,63
Guthrie Center ,1593
Guttenberg ,1817
Halbur ,243
Hamburg ,890
Hamilton ,119
Hampton ,4337
Hancock ,200
Hanlontown ,206
Hansell ,82
Harcourt ,264
Hardy ,57
Harlan ,4893
Harper ,118
Harpers Ferry ,262
Harris ,151
Hartford ,733
Hartley ,1605
Hartwick ,92
Harvey ,236
Hastings ,152
Havelock ,130
Haverhill ,165
Hawarden ,2700
Hawkeye ,438
Hayesville ,41
Hayfield CDP,41
Hazleton ,713
Hedrick ,728
Henderson ,144
Hepburn ,26
Hiawatha ,7183
High Amana CDP,113
Hills ,863
Hillsboro ,163
Hinton ,935
Holiday Lake CDP,473
Holland ,269
Holstein ,1501
Holy Cross ,356
Homestead CDP,135
Hopkinton ,622
Hornick ,255
Hospers ,718
Houghton ,141
Hubbard ,860
Hudson ,2546
Hull ,2384
Humboldt ,4792
Humeston ,465
Hutchins CDP,22
Huxley ,4244
Ida Grove ,2051
Imogene ,39
Independence ,6064
Indianola ,15833
Inwood ,928
Ionia ,226
Iowa City ,74828
Iowa Falls ,5106
Ireton ,590
Irvington CDP,36
Irwin ,319
Jackson Junction ,37
Jacksonville CDP,29
Jamaica ,195
Janesville ,1034
Jefferson ,4182
