township,county,population
Adams , Dallas ,1499
Adams , Delaware ,713
Adams , Keokuk ,400
Adams , Mahaska ,234
Adams , Wapello ,732
Adel , Dallas ,8344
Afton , Cherokee ,255
Afton , Howard ,860
Agency , Wapello ,1129
Albion , Butler ,2180
Albion , Howard ,367
Alden , Hardin ,1078
Algona city, Kossuth ,5487
Allen , Harrison ,147
Allen , Polk ,2995
Allen , Warren ,4646
Allens Grove , Scott ,961
Allison , Lyon ,307
Allison , Osceola ,141
Amaqua , Boone ,236
America , Plymouth ,11046
Amherst , Cherokee ,684
Amity , Page ,388
Amsterdam , Hancock ,795
Anderson , Mills ,409
Arcadia , Carroll ,766
Arlington , Woodbury ,2070
Armstrong Grove , Emmet ,1040
Ashton , Monona ,497
Athens , Ringgold ,382
Auburn , Fayette ,513
Audubon , Audubon ,185
Avery , Hancock ,309
Avery , Humboldt ,241
Badger , Webster ,1043
Baker , Guthrie ,215
Baker , O'Brien ,251
Baker , Osceola ,340
Baltimore , Henry ,899
Bangor , Marshall ,506
Banks , Fayette ,317
Banner , Woodbury ,1242
Barclay , Black Hawk ,426
Barnes , Buena Vista ,561
Barton , Worth ,202
Bath , Cerro Gordo ,274
Battle , Ida ,181
Bear Creek , Poweshiek ,1819
Bear Grove , Cass ,198
Bear Grove , Guthrie ,146
Beaver , Boone ,181
Beaver , Butler ,1323
Beaver , Dallas ,511
Beaver , Grundy ,533
Beaver , Guthrie ,578
Beaver , Humboldt ,298
Beaver , Polk ,3357
Bedford , Taylor ,1580
Belknap , Pottawattamie ,1599
Bellair , Appanoose ,464
Belle Plaine city, Benton ,2330
Bellevue , Jackson ,2974
Bellville , Pocahontas ,296
Belmond , Wright ,415
Belmont , Warren ,977
Belvidere , Monona ,206
Bennezette , Butler ,224
Bennington , Black Hawk ,486
Benton , Benton ,971
Benton , Cass ,163
Benton , Des Moines ,761
Benton , Fremont ,161
Benton , Keokuk ,999
Benton , Lucas ,406
Benton , Ringgold ,94
Benton , Taylor ,125
Benton , Wayne ,171
Bertram , Linn ,2430
Bethel , Fayette ,257
Big Creek , Black Hawk ,2544
Big Grove , Benton ,215
Big Grove , Johnson ,4983
Bingham , Hancock ,364
Black Hawk , Black Hawk ,2933
Black Hawk , Grundy ,1878
Black Hawk , Jefferson ,327
Black Oak , Mahaska ,715
Blaine , Ida ,457
Blaine , Wright ,648
Blairsburg , Hamilton ,288
Bloomfield city, Davis ,866
Bloomfield , Clinton ,34265
Bloomfield , Polk ,490
Bloomfield , Winneshiek ,2682
Bloomington , Decatur ,221
Bloomington , Muscatine ,24564
Blue Grass , Scott ,3552
Bluff Creek , Monroe ,251
Bluffton , Winneshiek ,424
