county_id,NAME10,dem_votes,rep_votes,og_district
0,Adair ,2917,1198,3
1,Adams ,1530,590,3
2,Allamakee ,4735,2576,2
3,Appanoose ,4512,1891,3
4,Audubon ,2295,1071,4
5,Benton ,9188,5160,2
6,Black Hawk ,29640,35647,2
7,Boone ,8695,6303,4
8,Bremer ,8294,5958,2
9,Buchanan ,6420,4169,2
10,Buena Vista ,5056,2961,4
11,Butler ,5542,2424,2
12,Calhoun ,3689,1470,4
13,Carroll ,7737,3454,4
14,Cass ,4969,2201,3
15,Cedar ,6161,4337,1
16,Cerro Gordo ,12442,10941,2
17,Cherokee ,4495,1936,4
18,Chickasaw ,4308,2233,2
19,Clarke ,3144,1466,3
20,Clay ,6137,2662,4
21,Clayton ,6106,3340,2
22,Clinton ,13361,10812,1
23,Crawford ,4854,2220,4
24,Dallas ,27987,26879,3
25,Davis ,3032,1013,3
26,Decatur ,2615,1120,3
27,Delaware ,6666,3157,2
28,Des Moines ,10592,8893,1
29,Dickinson ,7438,3661,4
30,Dubuque ,27214,25657,2
31,Emmet ,3265,1520,4
32,Fayette ,6145,3835,2
33,Floyd ,4732,3172,2
34,Franklin ,3422,1626,4
35,Fremont ,2711,1080,4
36,Greene ,3223,1769,3
37,Grundy ,4929,2206,2
38,Guthrie ,4272,1985,3
39,Hamilton ,4956,2843,4
40,Hancock ,4390,1683,4
41,Hardin ,5850,2976,2
42,Harrison ,5569,2440,4
43,Henry ,6507,3275,1
44,Howard ,3127,1772,2
45,Humboldt ,3819,1442,4
46,Ida ,2880,917,4
47,Iowa ,6009,3547,1
48,Jackson ,6940,4029,1
49,Jasper ,12084,7737,1
50,Jefferson ,4443,4319,1
51,Johnson ,22925,59177,1
52,Jones ,6572,4213,1
53,Keokuk ,3797,1414,1
54,Kossuth ,6275,2696,4
55,Lee ,9773,6541,1
56,Linn ,53364,70874,2
57,Louisa ,3500,1726,1
58,Lucas ,3287,1284,3
59,Lyon ,5707,1067,4
60,Madison ,6507,3134,3
61,Mahaska ,8297,2894,1
62,Marion ,12663,6178,1
63,Marshall ,9571,8176,4
64,Mills ,5585,2508,4
65,Mitchell ,3677,2053,2
66,Monona ,3248,1407,4
67,Monroe ,2975,1078,3
68,Montgomery ,3659,1583,3
69,Muscatine ,10823,9372,1
70,O'Brien ,5861,1569,4
71,Osceola ,2690,601,4
72,Page ,5319,2086,3
73,Palo Alto ,3370,1519,4
74,Plymouth ,10492,3494,4
75,Pocahontas ,2826,933,4
76,Polk ,106800,146250,3
77,Pottawattamie ,26247,18575,4
78,Poweshiek ,5657,4306,2
79,Ringgold ,1968,709,3
80,Sac ,4061,1389,4
81,Scott ,43683,46926,1
82,Shelby ,4697,1959,4
83,Sioux ,15680,3019,4
84,Story ,20340,29175,4
85,Tama ,5303,3577,2
86,Taylor ,2463,746,3
87,Union ,4010,2061,3
88,Van Buren ,2859,875,1
89,Wapello ,9516,5821,3
90,Warren ,17782,12574,1
91,Washington ,6971,4561,1
92,Wayne ,2338,727,3
93,Webster ,10938,6613,4
94,Winnebago ,3707,2135,4
95,Winneshiek ,6235,5617,2
96,Woodbury ,25736,18704,4
97,Worth ,2738,1596,2
98,Wright ,4136,1996,4
