county_id,NAME10,dem_votes,rep_votes,og_district,alt_district
0,Adair,1086,2916,3,4
1,Adams,576,1517,3,3
2,Allamakee,2350,4857,2,2
3,Appanoose,1686,4704,3,3
4,Audubon,970,2214,4,4
5,Benton,4739,9549,2,2
6,Black Hawk,31299,30572,2,2
7,Boone,5895,9199,4,4
8,Bremer,5571,8799,2,2
9,Buchanan,3766,6790,2,2
10,Buena Vista,2462,4962,4,4
11,Butler,2144,5784,2,2
12,Calhoun,1328,3708,4,4
13,Carroll,3153,7814,4,4
14,Cass,2077,5007,3,4
15,Cedar,4075,6390,1,1
16,Cerro Gordo,9955,12627,2,4
17,Cherokee,1611,4398,4,4
18,Chickasaw,1919,4234,2,4
19,Clarke,1265,3140,3,3
20,Clay,2367,6047,4,4
21,Clayton,3017,6255,2,2
22,Clinton,9472,13964,1,1
23,Crawford,1812,4651,4,4
24,Dallas,29402,32374,3,3
25,Davis,878,3027,3,3
26,Decatur,957,2711,3,3
27,Delaware,2978,6984,2,2
28,Des Moines,7935,10794,1,1
29,Dickinson,3297,7775,4,4
30,Dubuque,23705,28224,2,2
31,Emmet,1315,3422,4,4
32,Fayette,3334,6325,2,2
33,Floyd,2782,4744,2,4
34,Franklin,1393,3431,4,2
35,Fremont,1023,2711,4,4
36,Greene,1603,3211,3,4
37,Grundy,2019,4998,2,2
38,Guthrie,1974,4446,3,4
39,Hamilton,2482,5004,4,4
40,Hancock,1523,4336,4,4
41,Hardin,2553,5790,2,2
42,Harrison,2245,5566,4,4
43,Henry,2995,6439,1,1
44,Howard,1619,3157,2,4
45,Humboldt,1236,3770,4,4
46,Ida,826,2771,4,4
47,Iowa,3400,6068,1,2
48,Jackson,3567,7074,1,2
49,Jasper,7141,12701,1,2
50,Jefferson,3788,4353,1,2
51,Johnson,58846,26087,1,1
52,Jones,3942,6820,1,1
53,Keokuk,1219,3869,1,2
54,Kossuth,2284,5983,4,4
55,Lee,5659,10152,1,1
56,Linn,66358,54237,2,1
57,Louisa,1480,3584,1,1
58,Lucas,1169,3400,3,3
59,Lyon,1023,5899,4,4
60,Madison,3008,6864,3,3
61,Mahaska,2577,8207,1,2
62,Marion,5928,13289,1,3
63,Marshall,7134,9815,4,2
64,Mills,2456,5671,4,4
65,Mitchell,1943,3736,2,4
66,Monona,1236,3331,4,4
67,Monroe,1002,3104,3,3
68,Montgomery,1508,3486,3,4
69,Muscatine,8212,11152,1,1
70,O'Brien,1428,5998,4,4
71,Osceola,555,2623,4,4
72,Page,2060,5153,3,3
73,Palo Alto,1338,3576,4,4
74,Plymouth,3104,10661,4,4
75,Pocahontas,796,2727,4,4
76,Polk,140075,112240,3,3
77,Pottawattamie,17468,26335,4,4
78,Poweshiek,4067,5758,2,2
79,Ringgold,638,2015,3,3
80,Sac,1289,4100,4,4
81,Scott,42479,45976,1,1
82,Shelby,1811,4600,4,4
83,Sioux,2626,16053,4,4
84,Story,26765,21665,4,2
85,Tama,3070,5379,2,2
86,Taylor,666,2381,3,3
87,Union,1874,4044,3,3
88,Van Buren,778,2785,1,1
89,Wapello,4896,9479,3,2
90,Warren,12712,19486,1,3
91,Washington,4297,7119,1,2
92,Wayne,643,2426,3,3
93,Webster,5641,10850,4,4
94,Winnebago,1909,3636,4,4
95,Winneshiek,5321,6427,2,2
96,Woodbury,16145,25969,4,4
97,Worth,1508,2715,2,4
98,Wright,1770,3853,4,4
